date,mean autumn surface temperature
1938,15.4
1952,12.98
1958,12.98
1959,13.52
1974,11.6
1976,15.07
1982,14.43
1983,14.13
1984,13.62
1985,15.97
1986,14.52
1987,14.67
1988,14.45
1989,13.99
1990,15.0
1991,15.03
1992,13.05
1993,13.93
1994,14.15
1995,15.52
1996,12.84
1997,15.22
1998,13.35
1999,13.63
2000,14.84
2001,15.03
2002,14.0
2003,14.1
2004,14.59
2005,15.02
2006,16.21
2007,14.12
2008,14.0
2009,13.95
2010,13.01
2011,15.06
2012,15.05
2013,14.63
2014,16.91
2015,14.45
2016,14.38
2017,15.45
2018,16.51
2019,16.35
2020,15.35
2021,15.19
2022,16.34
2023,17.86
