date,mean spring epilimnion 0-5 m oxygen concentration
1938,12.06
1958,10.62
1959,14.84
1974,15.47
1977,9.73
1982,11.26
1983,11.2
1984,13.49
1985,12.84
1986,11.23
1987,13.1
1988,13.37
1989,13.24
1990,14.56
1991,13.01
1992,11.91
1993,13.5
1994,14.89
1995,12.78
1996,10.96
1997,12.91
1998,13.27
1999,15.41
2000,14.05
2001,11.5
2002,13.07
2003,13.37
2004,13.18
2005,13.15
2006,13.24
2007,11.51
2008,12.58
2009,12.55
2010,15.87
2011,13.37
2012,12.29
2013,11.33
2014,10.4
2015,12.78
2016,11.07
2017,11.61
2018,11.6
2019,12.3
2020,12.18
2021,12.52
2022,12.43
2023,12.2
