date,minimum bottom oxygen concentration
1982,0.0
1983,0.67
1984,3.13
1985,0.73
1986,2.77
1987,2.95
1988,1.63
1989,1.73
1990,0.23
1991,0.3
1992,0.27
1993,5.93
1994,3.03
1995,0.8
1996,1.13
1997,1.33
1998,1.07
1999,1.73
2000,2.47
2001,1.6
2002,1.33
2003,2.7
2004,1.0
2005,1.1
2006,0.87
2007,0.57
2008,1.47
2009,2.03
2010,3.13
2011,0.9
2012,2.6
2013,1.87
2014,0.57
