date,mean winter surface temperature
1958,2.81
1959,3.45
1975,4.96
1982,3.43
1983,4.36
1984,4.41
1985,3.63
1986,3.6
1987,3.71
1988,5.2
1989,4.92
1990,4.95
1991,4.74
1992,3.94
1993,4.56
1994,4.82
1995,5.32
1996,4.77
1997,3.99
1998,5.49
1999,4.59
2000,4.66
2001,5.6
2002,4.6
2003,5.54
2004,5.06
2005,5.22
2006,4.07
2007,5.61
2008,4.61
2009,3.93
2013,4.75
2014,4.9
