date,mean summer Schmidt stability
1966,1615.34
1974,2413.73
1976,2440.15
1982,1564.05
1983,2387.94
1984,2174.39
1985,2429.74
1986,2233.85
1987,1707.4
1988,2142.33
1989,2724.97
1990,2176.65
1991,2207.14
1992,2717.87
1993,2235.09
1994,2759.64
1995,2288.63
1996,2271.14
1997,2257.32
1998,2818.1
1999,1988.46
2000,2414.01
2001,2497.62
2002,2454.96
2003,3268.82
2004,2622.02
2005,2687.57
2006,2851.4
2007,2496.15
2008,2703.3
2009,2511.09
2010,2487.33
2011,2644.57
2012,2366.32
2013,2576.18
2014,2857.97
2015,2944.39
2016,2234.12
2017,2606.23
2018,3552.79
2019,3002.95
2020,3181.1
2021,2486.33
2022,3486.35
2023,2429.37
