date,minimum bottom temperature
1982,3.63
1983,3.6
1984,3.57
1985,3.3
1986,3.23
1987,3.3
1988,4.3
1989,4.47
1990,4.6
1991,3.8
1992,3.47
1993,4.4
1994,4.28
1995,4.96
1996,3.89
1997,3.8
1998,4.6
1999,3.84
2000,4.29
2001,5.25
2002,4.54
2003,4.58
2004,4.39
2005,3.92
2006,3.51
2007,5.18
2008,4.4
2009,3.66
2010,3.4
2011,3.75
2012,3.55
2013,4.04
2014,3.98
