date,mean spring bottom oxygen concentration
1938,2.02
1974,0.06
1977,0.24
1982,4.47
1983,7.55
1984,9.22
1985,8.97
1986,8.66
1987,9.78
1988,8.73
1989,6.84
1990,6.99
1991,7.03
1992,8.25
1993,8.23
1994,9.92
1995,9.59
1996,8.71
1997,8.65
1998,7.52
1999,8.09
2000,8.12
2001,8.24
2002,8.31
2003,8.45
2004,9.62
2005,9.01
2006,10.41
2007,6.23
2008,7.7
2009,9.52
2010,9.72
2011,8.67
2012,8.89
2013,8.83
2014,6.27
2015,8.47
2016,8.31
2017,8.05
2018,9.51
2019,9.66
2020,9.52
2021,9.78
2022,9.77
2023,8.67
