date,mean autumn epilimnion 0-10 m oxygen concentration
1938,6.12
1952,9.06
1958,5.64
1959,4.52
1974,8.74
1976,5.62
1982,5.9
1983,6.14
1984,9.17
1985,7.8
1986,10.44
1987,8.93
1988,7.92
1989,9.16
1990,9.29
1991,9.43
1992,7.36
1993,8.71
1994,10.44
1995,10.8
1996,10.23
1997,9.54
1998,11.14
1999,5.84
2000,8.3
2001,10.53
2002,8.39
2003,10.41
2004,9.0
2005,9.57
2006,8.38
2007,8.25
2008,10.23
2009,7.95
2010,9.04
2011,7.87
2012,9.92
2013,8.28
2014,7.66
2015,9.1
2016,7.07
2017,9.19
2018,11.64
2019,11.48
2020,11.29
2021,8.1
2022,11.91
2023,12.9
