date,minimum Secchi depth
1982,1.1
1983,1.3
1987,1.2
1988,1.2
1989,2.0
1990,1.5
1991,1.2
1992,1.5
1993,1.9
1994,1.8
1995,2.1
1996,1.6
1997,1.4
1998,1.4
1999,0.9
2000,2.0
2001,1.6
2002,1.4
2003,2.0
2004,2.0
2005,1.8
2006,1.4
2007,1.5
2008,2.0
2009,1.5
2011,1.5
2012,1.4
2013,1.5
2014,2.2
