date,mean winter Secchi depth
1982,5.03
1983,6.76
1987,7.82
1988,4.69
1989,8.03
1990,5.12
1991,4.32
1993,8.69
1994,4.68
1995,5.16
1996,4.09
1997,5.1
1998,3.71
1999,3.21
2000,5.4
2001,6.31
2002,4.7
2003,4.46
2004,3.71
2005,3.2
2006,2.53
2007,3.8
2008,4.28
2009,3.8
2013,3.79
2014,4.46
