date,mean winter surface oxygen concentration
1958,6.13
1959,8.33
1975,4.23
1982,5.06
1983,5.08
1984,8.37
1985,8.16
1986,7.45
1987,7.99
1988,7.59
1989,6.58
1990,7.09
1991,6.97
1992,7.0
1993,6.54
1994,9.95
1995,7.97
1996,7.01
1997,7.63
1998,7.61
1999,6.99
2000,8.16
2001,7.71
2002,8.04
2003,8.01
2004,11.18
2005,8.27
2006,7.91
2007,5.6
2008,8.17
2009,9.07
2014,7.18
