date,mean annual Secchi depth
1982,4.17
1983,4.9
1987,4.1
1988,3.94
1989,4.9
1990,3.14
1991,3.04
1992,3.68
1993,5.1
1994,3.25
1995,3.82
1996,3.36
1997,3.17
1998,2.9
1999,2.64
2000,4.09
2001,3.52
2002,3.08
2003,4.18
2004,3.33
2005,2.86
2006,2.71
2007,2.84
2008,3.11
2009,2.96
2011,2.93
2012,3.21
2013,2.92
2014,3.17
