date,mean summer epilimnion 5-10 m oxygen concentration
1938,4.79
1958,4.05
1959,1.74
1966,1.18
1974,0.56
1976,6.57
1982,2.89
1983,5.05
1984,6.09
1985,8.4
1986,7.54
1987,7.14
1988,6.89
1989,12.19
1990,4.31
1991,10.36
1992,6.95
1993,7.92
1994,9.72
1995,6.19
1996,6.39
1997,9.65
1998,12.29
1999,3.85
2000,8.47
2001,5.7
2002,5.34
2003,16.49
2004,10.12
2005,17.35
2006,12.79
2007,10.38
2008,15.51
2009,13.11
2010,12.56
2011,9.78
2012,11.29
2013,8.2
2014,14.18
2015,7.71
2016,4.9
2017,9.47
2018,24.1
2019,16.14
2020,19.18
2021,12.86
2022,19.72
2023,17.82
