date,mean late summer Secchi depth
1982,2.57
1983,1.76
1987,3.16
1988,1.82
1989,2.55
1990,4.25
1991,2.71
1992,1.78
1993,3.23
1994,3.6
1995,2.85
1996,2.43
1997,4.48
1998,2.69
1999,1.06
2000,2.16
2001,1.72
2002,4.43
2003,4.89
2004,3.36
2005,2.48
2006,3.36
2007,1.82
2008,2.0
2009,1.61
2010,1.67
2011,2.57
2012,3.0
2013,1.83
2014,2.41
2015,4.28
2016,2.33
2017,2.67
2018,7.31
2019,5.31
2020,3.5
2021,4.26
2022,3.48
2023,3.0
