date,mean early autumn bottom oxygen concentration
1938,1.55
1959,0.0
1974,0.0
1976,0.0
1982,0.17
1983,1.14
1984,5.11
1985,4.26
1986,3.99
1987,5.2
1988,1.68
1989,3.67
1990,0.87
1991,0.92
1992,1.56
1993,7.52
1994,6.67
1995,4.07
1996,4.83
1997,5.5
1998,2.25
1999,3.26
2000,4.49
2001,3.14
2002,4.67
2003,3.77
2004,3.32
2005,3.57
2006,3.93
2007,3.67
2008,3.07
2009,4.21
2010,5.35
2011,4.74
2012,4.55
2013,2.76
2014,2.74
2015,0.64
2016,4.52
2017,3.99
2018,3.59
2019,5.41
2020,2.44
2021,2.04
2022,2.51
2023,2.31
