date,mean early autumn Schmidt stability
1994,10738.27
1995,10476.51
1996,11961.16
1997,12530.68
1998,9264.27
1999,12154.77
2000,12505.56
2001,10167.31
2002,11043.37
2003,11249.61
2004,11598.78
2005,6635.08
2006,9653.18
2007,8925.59
2008,10365.98
2009,11401.34
2010,8309.79
2011,11180.39
2012,12134.24
2013,11290.71
2014,11944.31
2015,12964.43
2016,12875.47
2017,12881.2
2018,14784.49
2019,13253.81
2020,14007.16
2021,14574.29
2022,14553.05
2023,15259.62
