date,mean winter bottom oxygen concentration
1996,7.76
1997,5.07
1998,7.19
1999,8.33
2000,9.45
2001,9.48
2002,8.66
2003,9.33
2004,9.09
2005,9.46
2006,10.85
2007,9.91
2008,9.71
2009,9.96
2010,9.61
2011,9.9
2012,10.37
2013,10.05
2014,9.76
2015,9.79
2016,9.26
2017,9.76
2018,9.8
2019,9.23
2020,8.94
2021,8.71
2022,9.13
2023,8.97
