date,mean summer surface oxygen concentration
1994,9.51
1995,9.92
1996,10.24
1997,10.36
1998,10.04
1999,10.39
2000,10.67
2001,10.43
2002,10.02
2003,9.62
2004,10.09
2005,9.9
2006,10.26
2007,10.13
2008,9.6
2009,9.86
2010,9.96
2011,9.87
2012,9.18
2013,9.77
2014,10.01
2015,9.89
2016,9.84
2017,9.54
2018,9.28
2019,9.89
2020,9.53
2021,10.18
2022,9.58
2023,9.5
