date,mean winter hypolimnetic density
2000,1000.0687
2001,1000.0634
2002,1000.0659
2003,1000.0638
2004,1000.0663
2005,1000.0675
2006,1000.0702
2007,1000.0694
2008,1000.0653
2009,1000.0642
2010,1000.0636
2011,1000.0659
2012,1000.0628
2013,1000.0676
2014,1000.0673
2015,1000.0591
2016,1000.0613
2017,1000.067
2018,1000.0663
2019,1000.0697
2020,1000.0625
2021,1000.0622
2022,1000.0627
2023,1000.064
