date,mean winter epilimnion 0-5 m oxygen concentration
1996,11.28
1997,11.33
1998,11.41
1999,10.6
2000,11.36
2001,11.4
2002,11.07
2003,10.89
2004,10.5
2005,10.64
2006,10.87
2007,10.95
2008,10.94
2009,10.94
2010,10.41
2011,10.73
2012,10.39
2013,10.94
2014,11.2
2015,10.46
2016,10.76
2017,10.54
2018,10.79
2019,10.75
2020,11.0
2021,10.69
2022,10.98
2023,11.07
