date,mean late autumn bottom oxygen concentration
1994,8.58
1995,7.67
1996,4.11
1997,7.22
1998,8.15
1999,9.75
2000,10.07
2001,8.78
2002,9.32
2003,9.73
2004,9.67
2005,10.04
2006,10.14
2007,9.62
2008,9.66
2009,9.77
2010,9.56
2011,10.28
2012,9.91
2013,9.79
2014,9.88
2015,9.52
2016,9.37
2017,9.22
2018,9.52
2019,9.11
2020,8.75
2021,9.56
2022,9.02
2023,8.88
