date,mean autumn epilimnion 5-10 m oxygen concentration
1994,10.28
1995,10.7
1996,11.11
1997,10.9
1998,11.01
1999,10.97
2000,10.78
2001,11.01
2002,10.63
2003,10.38
2004,10.53
2005,10.47
2006,10.26
2007,10.53
2008,10.35
2009,10.01
2010,10.17
2011,10.54
2012,10.14
2013,10.11
2014,10.09
2015,10.04
2016,10.22
2017,10.17
2018,9.98
2020,10.17
2021,10.31
2022,9.94
2023,10.37
