date,mean autumn bottom oxygen concentration
1994,8.54
1995,7.99
1996,4.13
1997,7.26
1998,8.38
1999,9.9
2000,10.06
2001,8.98
2002,9.41
2003,9.84
2004,9.85
2005,10.19
2006,10.39
2007,9.76
2008,10.0
2009,10.23
2010,9.88
2011,10.48
2012,10.05
2013,9.77
2014,9.56
2015,9.64
2016,9.57
2017,9.51
2018,9.51
2020,8.88
2021,9.82
2022,9.18
2023,9.08
