date,mean autumn Secchi depth
1996,9.71
1997,3.61
1998,2.55
1999,2.49
2000,3.82
2001,6.53
2002,5.32
2003,2.18
2004,4.76
2005,3.88
2006,1.94
2007,4.9
2008,3.17
2009,1.6
2010,2.41
2011,2.59
2012,2.87
2013,2.18
2014,2.95
2015,4.18
2016,2.45
2017,5.29
2018,3.92
2019,3.53
2020,4.36
2021,3.62
2022,4.05
2023,4.92
