date,mean spring surface oxygen concentration
1994,11.09
1995,11.26
1996,10.96
1997,11.78
1998,12.14
1999,11.58
2000,11.82
2001,11.61
2002,11.68
2003,11.31
2004,11.22
2005,11.11
2006,11.47
2007,10.92
2008,11.28
2009,10.81
2010,10.65
2011,10.98
2012,10.82
2013,11.03
2014,11.26
2015,10.87
2016,11.3
2017,11.29
2018,11.18
2019,11.34
2020,11.02
2021,11.14
2022,11.29
2023,11.24
