date,minimum surface temperature
1994,5.16
1995,5.6
1996,5.25
1997,5.39
1998,5.58
1999,5.28
2000,4.96
2001,5.5
2002,5.32
2003,5.24
2004,5.22
2005,5.03
2006,5.0
2007,5.37
2008,5.4
2009,5.34
2010,5.23
2011,5.43
2012,5.13
2013,5.28
2014,5.5
2015,5.62
2016,5.74
2017,5.54
2018,5.54
2019,5.44
2020,5.88
2021,5.72
2022,5.68
2023,5.9
