date,mean summer surface temperature
1994,16.73
1995,15.7
1996,18.38
1997,15.56
1998,15.98
1999,15.49
2000,14.62
2001,15.74
2002,16.98
2003,18.66
2004,15.47
2005,14.8
2006,16.72
2007,14.47
2008,17.51
2009,16.84
2010,15.83
2011,18.71
2012,18.12
2013,18.06
2014,16.63
2015,18.13
2016,18.56
2017,18.53
2018,19.45
2019,15.52
2020,18.71
2021,15.62
2022,18.73
2023,19.62
