date,minimum bottom oxygen concentration
1994,8.09
1995,7.5
1996,3.46
1997,4.97
1998,6.9
1999,7.93
2000,9.42
2001,8.73
2002,8.64
2003,9.06
2004,8.82
2005,9.01
2006,9.98
2007,9.5
2008,9.42
2009,9.51
2010,9.41
2011,9.62
2012,9.85
2013,9.7
2014,9.24
2015,9.34
2016,9.11
2017,9.0
2018,9.48
2019,8.91
2020,8.51
2021,8.64
2022,8.78
2023,8.73
