date,mean summer epilimnion 0-10 m oxygen concentration
1994,10.29
1995,10.48
1996,11.26
1997,10.94
1998,10.54
1999,11.1
2000,11.1
2001,11.0
2002,10.97
2003,10.64
2004,10.45
2005,10.17
2006,10.73
2007,10.39
2008,10.33
2009,10.3
2010,10.49
2011,10.54
2012,9.98
2013,10.67
2014,10.97
2015,10.48
2016,10.5
2017,10.16
2018,10.3
2019,10.28
2020,10.21
2021,10.57
2022,10.2
2023,10.34
