date,mean autumn hypolimnetic oxygen concentration
1994,9.59
1995,9.58
1996,9.79
1997,9.32
1998,9.53
1999,10.47
2000,10.58
2001,10.21
2002,10.15
2003,10.34
2004,10.37
2005,10.56
2006,10.71
2007,10.29
2008,10.43
2009,10.49
2010,10.46
2011,10.63
2012,10.52
2013,10.47
2014,10.05
2015,10.17
2016,10.08
2017,10.04
2018,10.28
2020,9.93
2021,10.42
2022,10.16
2023,9.97
