date,mean annual bottom temperature
1994,5.21
1995,5.34
1996,5.38
1997,5.39
1998,5.52
1999,5.14
2000,5.19
2001,5.39
2002,5.43
2003,5.34
2004,5.3
2005,5.2
2006,5.02
2007,5.34
2008,5.53
2009,5.46
2010,5.43
2011,5.53
2012,5.35
2013,5.3
2014,5.52
2015,5.67
2016,5.77
2017,5.6
2018,5.41
2019,5.45
2020,5.56
2021,5.72
2022,5.79
2023,5.84
