date,minimum Secchi depth
1997,2.5
1998,1.3
1999,2.2
2000,2.1
2001,2.4
2002,1.5
2003,1.5
2004,2.0
2005,1.1
2006,1.2
2007,1.3
2008,1.2
2009,1.0
2010,1.5
2011,2.1
2012,1.6
2013,1.8
2014,2.0
2015,1.9
2016,2.4
2017,2.3
2018,2.4
2019,1.5
2020,2.5
2021,1.9
2022,2.0
2023,3.0
