date,mean summer Schmidt stability
1994,11397.51
1995,9728.65
1996,12560.14
1997,10783.53
1998,10747.09
1999,8947.13
2000,10707.48
2001,10829.13
2002,10324.92
2003,13232.18
2004,10423.97
2005,9267.69
2006,9063.3
2007,10460.67
2008,11079.59
2009,12500.67
2010,11190.48
2011,13120.48
2012,10310.92
2013,12725.93
2014,12194.84
2015,14771.65
2016,13895.22
2017,14778.21
2018,14704.36
2019,11581.25
2020,15061.91
2021,11424.92
2022,14485.62
2023,13993.17
