date,mean annual surface temperature
1994,11.16
1995,10.6
1996,11.12
1997,11.0
1998,10.42
1999,10.23
2000,11.04
2001,10.98
2002,11.17
2003,11.7
2004,10.81
2005,10.2
2006,10.39
2007,11.15
2008,11.01
2009,11.56
2010,10.0
2011,11.81
2012,11.39
2013,11.03
2014,11.34
2015,11.64
2016,11.49
2017,11.99
2018,11.93
2019,10.71
2020,11.58
2021,10.96
2022,12.22
2023,12.77
