date,mean annual surface conductivity
2000,148.15
2001,150.63
2002,155.31
2003,146.92
2004,153.75
2005,157.57
2006,157.44
2007,156.81
2008,157.8
2009,156.13
2010,160.89
2011,160.08
2012,158.06
2013,159.79
2014,161.43
2015,156.06
2016,160.5
2017,161.96
2018,158.56
2019,158.78
2020,160.93
2021,168.15
2022,158.9
2023,163.28
