date,mean spring Schmidt stability
1994,1551.56
1995,1053.98
1996,1543.12
1997,1580.27
1998,1232.78
1999,835.45
2000,1289.2
2001,1026.28
2002,1527.55
2003,1724.71
2004,1256.48
2005,1287.89
2006,602.08
2007,2853.79
2008,1083.69
2009,2019.94
2010,1780.78
2011,2878.71
2012,2253.12
2013,1410.48
2014,1539.83
2015,1519.48
2016,2136.0
2017,3007.35
2018,1583.98
2019,1684.98
2020,3476.13
2021,1270.95
2022,1846.22
2023,1846.08
