date,mean spring surface temperature
1994,7.19
1995,6.83
1996,8.54
1997,7.2
1998,7.43
1999,6.25
2000,7.13
2001,6.63
2002,7.71
2003,8.16
2004,7.22
2005,7.58
2006,6.62
2007,10.79
2008,6.8
2009,9.35
2010,7.63
2011,10.25
2012,8.44
2013,8.6
2014,7.67
2015,7.71
2016,8.42
2017,9.91
2018,7.52
2019,7.68
2020,9.37
2021,7.18
2022,8.42
2023,8.82
