date,mean autumn bottom temperature
1994,5.29
1995,5.37
1996,5.38
1997,5.43
1998,5.64
1999,5.21
2000,5.2
2001,5.46
2002,5.48
2003,5.41
2004,5.36
2005,5.61
2006,5.14
2007,5.55
2008,5.63
2009,5.62
2010,5.62
2011,5.9
2012,5.44
2013,5.35
2014,5.65
2015,5.72
2016,5.82
2017,5.64
2018,5.39
2019,5.5
2020,5.67
2021,5.79
2022,5.81
2023,5.9
