date,mean late summer Secchi depth
1996,4.07
1997,2.54
1998,2.31
1999,2.9
2000,2.85
2001,2.77
2002,1.96
2003,1.61
2004,2.38
2005,1.21
2006,1.34
2007,1.53
2008,1.95
2009,2.06
2010,1.75
2011,2.38
2012,2.11
2013,2.68
2014,2.46
2015,2.38
2016,2.65
2017,2.67
2018,2.83
2019,2.24
2020,2.9
2021,2.44
2022,2.16
2023,3.95
