date,mean annual bottom conductivity
2000,175.45
2001,178.03
2002,175.9
2003,174.48
2004,174.17
2005,172.77
2006,174.45
2007,177.98
2008,177.48
2009,176.06
2010,175.18
2011,176.81
2012,178.86
2013,179.52
2014,182.16
2015,182.89
2016,186.31
2017,184.11
2018,186.23
2019,188.95
2020,190.94
2021,188.48
2022,192.03
2023,194.59
