date,mean annual hypolimnetic density
2000,1000.0641
2001,1000.0584
2002,1000.06
2003,1000.0644
2004,1000.0658
2005,1000.0692
2006,1000.072
2007,1000.0639
2008,1000.0586
2009,1000.0622
2010,1000.0651
2011,1000.0641
2012,1000.0654
2013,1000.0673
2014,1000.0637
2015,1000.0611
2016,1000.0587
2017,1000.0643
2018,1000.0687
2019,1000.0634
2020,1000.0615
2021,1000.0613
2022,1000.0643
2023,1000.062
