date,mean winter bottom temperature
1996,5.37
1997,5.38
1998,5.45
1999,5.56
2000,5.24
2001,5.31
2002,5.47
2003,5.44
2004,5.4
2005,5.26
2006,5.21
2007,5.16
2008,5.55
2009,5.59
2010,5.53
2011,5.53
2012,5.64
2013,5.44
2014,5.36
2015,5.81
2016,5.71
2017,5.71
2018,5.69
2019,5.4
2020,5.49
2021,5.7
2022,5.77
2023,5.81
