date,mean early autumn thermocline depth
1994,4.82
1995,9.68
1996,13.65
1997,5.31
1998,20.34
1999,6.82
2000,10.86
2001,27.45
2002,9.25
2003,11.62
2004,5.27
2005,7.83
2006,10.12
2007,16.59
2008,6.77
2009,11.79
2010,9.14
2011,6.35
2012,9.39
2013,23.64
2014,5.09
2015,7.72
2016,12.4
2017,30.4
2018,4.66
2019,8.56
2020,12.64
2021,14.32
2022,11.53
2023,4.01
