date,mean summer Secchi depth
1996,4.85
1997,4.26
1998,2.51
1999,2.29
2000,2.93
2001,3.05
2002,2.04
2003,2.32
2004,2.08
2005,1.9
2006,1.78
2007,2.0
2008,2.69
2009,2.67
2010,1.7
2011,3.17
2012,1.76
2013,3.15
2014,4.2
2015,2.21
2016,2.56
2017,2.95
2018,3.48
2019,2.08
2020,2.72
2021,2.15
2022,2.79
2023,3.94
