date,mean autumn hypolimnetic density
2000,1000.0559
2001,1000.0522
2002,1000.0527
2003,1000.0605
2004,1000.0604
2005,1000.0611
2006,1000.0682
2007,1000.0572
2008,1000.0478
2009,1000.0545
2010,1000.0586
2011,1000.0562
2012,1000.0572
2013,1000.0609
2014,1000.058
2015,1000.0583
2016,1000.0556
2017,1000.0595
2018,1000.0662
2019,1000.0548
2020,1000.0582
2021,1000.0569
2022,1000.062
2023,1000.0599
