date,minimum bottom temperature
1994,5.12
1995,5.29
1996,5.37
1997,5.35
1998,5.44
1999,4.96
2000,5.12
2001,5.31
2002,5.36
2003,5.21
2004,5.14
2005,4.82
2006,4.78
2007,5.16
2008,5.41
2009,5.29
2010,5.15
2011,5.3
2012,5.18
2013,5.2
2014,5.36
2015,5.56
2016,5.71
2017,5.52
2018,5.32
2019,5.4
2020,5.49
2021,5.66
2022,5.76
2023,5.8
