date,mean annual Secchi depth
1997,4.91
1998,3.73
1999,3.56
2000,4.1
2001,4.15
2002,4.77
2003,3.93
2004,4.68
2005,3.94
2006,2.58
2007,3.81
2008,3.83
2009,3.27
2010,2.92
2011,3.71
2012,3.21
2013,3.8
2014,4.79
2015,4.27
2016,5.08
2017,4.87
2018,4.12
2019,4.49
2020,5.01
2021,4.72
2022,4.89
2023,5.06
