date,mean early autumn hypolimnetic oxygen concentration
1994,9.64
1995,9.58
1996,9.76
1997,9.41
1998,9.3
1999,10.56
2000,10.71
2001,10.3
2002,10.38
2003,10.6
2004,10.43
2005,10.6
2006,10.81
2007,10.37
2008,10.54
2009,10.49
2010,10.56
2011,10.77
2012,10.23
2013,10.59
2014,10.02
2015,10.28
2016,10.13
2017,10.17
2018,10.24
2019,10.23
2020,10.04
2021,10.56
2022,10.47
2023,10.13
