date,mean annual heat content
1994,4503019163.39
1995,4529224753.95
1996,4454095629.12
1997,4464950869.59
1998,4523580368.8
1999,4353086644.57
2000,4413181415.12
2001,4577861082.96
2002,4520771222.79
2003,4481503344.38
2004,4400763344.4
2005,4203357904.84
2006,4174821370.41
2007,4496317707.89
2008,4612053712.41
2009,4581976096.97
2010,4430860367.58
2011,4522637017.48
2012,4496717862.32
2013,4466274659.8
2014,4610108200.75
2015,4721701978.31
2016,4780024740.19
2017,4699385694.51
2018,4587105453.87
2019,4660459434.08
2020,4791871705.71
2021,4751384451.94
2022,4794256175.6
2023,4842359868.2
