date,mean late autumn hypolimnetic oxygen concentration
1994,9.75
1995,9.55
1996,9.64
1997,9.3
1998,9.56
1999,10.48
2000,10.45
2001,10.07
2002,10.12
2003,10.21
2004,10.29
2005,10.51
2006,10.64
2007,10.24
2008,10.19
2009,10.2
2010,10.33
2011,10.51
2012,10.5
2013,10.44
2014,9.92
2015,10.09
2016,10.02
2017,9.94
2018,10.32
2019,10.14
2020,9.84
2021,10.36
2022,10.23
2023,9.97
