date,mean annual bottom density
2000,1000.0747
2001,1000.072
2002,1000.0698
2003,1000.0709
2004,1000.0716
2005,1000.0719
2006,1000.0769
2007,1000.073
2008,1000.0684
2009,1000.0691
2010,1000.069
2011,1000.0675
2012,1000.0734
2013,1000.0751
2014,1000.0715
2015,1000.0685
2016,1000.0677
2017,1000.071
2018,1000.077
2019,1000.0779
2020,1000.0765
2021,1000.0707
2022,1000.0711
2023,1000.0712
