date,mean spring bottom temperature
1994,5.12
1995,5.3
1996,5.37
1997,5.36
1998,5.44
1999,5.0
2000,5.12
2001,5.34
2002,5.36
2003,5.22
2004,5.16
2005,4.87
2006,4.86
2007,5.17
2008,5.43
2009,5.3
2010,5.19
2011,5.3
2012,5.22
2013,5.22
2014,5.36
2015,5.58
2016,5.71
2017,5.55
2018,5.33
2019,5.4
2020,5.49
2021,5.66
2022,5.76
2023,5.8
