date,mean autumn surface temperature
1994,11.2
1995,12.42
1996,11.55
1997,12.64
1998,10.65
1999,11.63
2000,11.36
2001,12.93
2002,11.47
2003,11.6
2004,12.78
2005,11.99
2006,11.92
2007,12.66
2008,12.02
2009,12.03
2010,10.95
2011,12.01
2012,11.66
2013,11.55
2014,12.98
2015,12.85
2016,11.93
2017,12.45
2018,13.39
2019,12.76
2020,11.85
2021,11.87
2022,13.47
2023,14.35
