date,mean winter surface oxygen concentration
1996,11.1
1997,11.27
1998,11.4
1999,10.58
2000,11.37
2001,11.4
2002,11.07
2003,10.85
2004,10.51
2005,10.65
2006,10.88
2007,10.95
2008,10.88
2009,10.93
2010,10.38
2011,10.76
2012,10.38
2013,10.97
2014,11.2
2015,10.43
2016,10.71
2017,10.54
2018,10.79
2019,10.74
2020,11.0
2021,10.69
2022,11.0
2023,11.04
