date (yyyy-mm-dd HH:MM:SS),bottom temperature [°C]
30.01.1987 12:00,4.84
26.02.1987 12:00,4.67
26.03.1987 12:00,4.66
23.04.1987 12:00,5.04
21.05.1987 12:00,5.1
30.06.1987 12:00,5.11
23.07.1987 12:00,5.17
01.09.1987 12:00,5.15
23.09.1987 12:00,5.2
22.10.1987 12:00,5.21
19.11.1987 12:00,5.19
17.12.1987 12:00,5.28
28.01.1988 12:00,5.41
25.02.1988 12:00,5.66
25.03.1988 12:00,5.71
07.04.1988 12:00,5.7
21.04.1988 12:00,5.69
10.05.1988 12:00,5.68
26.05.1988 12:00,5.68
15.06.1988 12:00,5.66
23.06.1988 12:00,5.69
08.07.1988 12:00,5.64
21.07.1988 12:00,5.67
08.08.1988 12:00,5.63
25.08.1988 12:00,5.58
07.09.1988 12:00,5.63
22.09.1988 12:00,5.71
06.10.1988 12:00,5.69
20.10.1988 12:00,5.74
03.11.1988 12:00,5.7
17.11.1988 12:00,5.73
15.12.1988 12:00,5.77
19.01.1989 12:00,5.65
16.02.1989 12:00,5.25
15.03.1989 12:00,5.22
31.03.1989 12:00,5.34
13.04.1989 12:00,5.32
28.04.1989 12:00,5.45
11.05.1989 12:00,5.5
26.05.1989 12:00,5.53
07.06.1989 12:00,5.54
26.06.1989 12:00,5.55
13.07.1989 12:00,5.55
10.08.1989 12:00,5.56
13.09.1989 12:00,5.58
12.10.1989 12:00,5.61
09.11.1989 12:00,5.63
14.12.1989 12:00,5.62
18.01.1990 12:00,5.69
22.02.1990 12:00,5.64
22.03.1990 12:00,5.68
19.04.1990 12:00,5.78
17.05.1990 12:00,5.76
21.06.1990 12:00,5.78
19.07.1990 12:00,5.79
30.08.1990 12:00,5.8
20.09.1990 12:00,5.83
25.10.1990 12:00,5.86
15.11.1990 12:00,5.93
13.12.1990 12:00,5.98
24.01.1991 12:00,5.7
26.02.1991 12:00,5.03
14.03.1991 12:00,5.03
28.03.1991 12:00,5.04
29.04.1991 12:00,5.11
16.05.1991 12:00,5.13
13.06.1991 12:00,5.17
18.07.1991 12:00,5.2
22.08.1991 12:00,5.3
24.09.1991 12:00,5.32
24.10.1991 12:00,5.38
20.11.1991 12:00,5.38
19.12.1991 12:00,5.41
02.03.1992 12:00,5.42
10.03.1992 12:00,5.46
26.03.1992 12:00,5.47
29.04.1992 12:00,5.59
26.05.1992 12:00,5.62
23.06.1992 12:00,5.65
23.07.1992 12:00,5.65
19.08.1992 12:00,5.65
23.09.1992 12:00,5.68
21.10.1992 12:00,5.7
20.11.1992 12:00,5.7
16.12.1992 12:00,5.76
27.01.1993 12:00,5.79
17.02.1993 12:00,5.8
17.03.1993 12:00,5.59
15.04.1993 12:00,5.66
08.06.1993 12:00,5.59
15.07.1993 12:00,5.61
12.08.1993 12:00,5.62
23.09.1993 12:00,5.65
26.10.1993 12:00,5.7
23.11.1993 12:00,5.71
16.12.1993 12:00,5.71
20.01.1994 12:00,5.82
15.02.1994 12:00,5.76
24.03.1994 12:00,5.5
21.04.1994 12:00,5.54
19.05.1994 12:00,5.56
23.06.1994 12:00,5.57
20.07.1994 12:00,5.59
25.08.1994 12:00,5.59
22.09.1994 12:00,5.62
20.10.1994 12:00,5.63
24.11.1994 12:00,5.65
22.12.1994 12:00,5.66
19.01.1995 12:00,5.8
16.02.1995 12:00,5.58
23.03.1995 12:00,5.63
04.04.1995 12:00,5.84
20.04.1995 12:00,5.93
30.05.1995 12:00,5.96
22.06.1995 12:00,5.98
20.07.1995 12:00,6.0
24.08.1995 12:00,6.01
21.09.1995 12:00,6.03
19.10.1995 12:00,6.06
23.11.1995 12:00,6.1
21.12.1995 12:00,6.13
25.01.1996 12:00,6.18
22.02.1996 12:00,6.1
27.03.1996 12:00,5.99
25.04.1996 12:00,6.0
23.05.1996 12:00,6.02
20.06.1996 12:00,6.03
12.07.1996 12:00,6.04
22.07.1996 12:00,6.04
08.08.1996 12:00,6.05
27.08.1996 12:00,6.06
11.09.1996 12:00,6.07
24.09.1996 12:00,6.07
08.10.1996 12:00,6.07
23.10.1996 12:00,6.07
05.11.1996 12:00,6.07
26.11.1996 12:00,6.05
11.12.1996 12:00,6.11
17.12.1996 12:00,6.11
08.01.1997 12:00,6.13
28.01.1997 12:00,6.13
18.02.1997 12:00,6.13
25.02.1997 12:00,6.07
11.03.1997 12:00,6.11
25.03.1997 12:00,6.12
08.04.1997 12:00,6.28
21.04.1997 12:00,6.31
05.05.1997 12:00,6.36
20.05.1997 12:00,6.37
03.06.1997 12:00,6.38
18.06.1997 12:00,6.37
01.07.1997 12:00,6.4
22.07.1997 12:00,6.41
05.08.1997 12:00,6.42
27.08.1997 12:00,6.43
09.09.1997 12:00,6.44
23.09.1997 12:00,6.44
08.10.1997 12:00,6.44
21.10.1997 12:00,6.45
