date,depth,salinity [g kg-1]
21.06.1978 12:00,5.0,0.323
21.06.1978 12:00,7.5,0.337
21.06.1978 12:00,10.0,0.337
21.06.1978 12:00,12.5,0.339
21.06.1978 12:00,15.0,0.34
21.06.1978 12:00,17.5,0.343
21.06.1978 12:00,20.0,0.34
21.06.1978 12:00,25.0,0.346
21.06.1978 12:00,30.0,0.346
21.06.1978 12:00,34.0,0.354
25.07.1978 12:00,0.3,0.233
25.07.1978 12:00,2.5,0.221
25.07.1978 12:00,5.0,0.302
25.07.1978 12:00,7.5,0.334
25.07.1978 12:00,10.0,0.338
25.07.1978 12:00,12.5,0.339
25.07.1978 12:00,15.0,0.338
25.07.1978 12:00,17.5,0.338
25.07.1978 12:00,20.0,0.339
25.07.1978 12:00,25.0,0.344
25.07.1978 12:00,30.0,0.346
25.07.1978 12:00,34.0,0.35
22.08.1978 12:00,0.3,0.225
22.08.1978 12:00,2.5,0.227
22.08.1978 12:00,5.0,0.274
22.08.1978 12:00,7.5,0.323
22.08.1978 12:00,10.0,0.329
22.08.1978 12:00,12.5,0.344
22.08.1978 12:00,15.0,0.334
22.08.1978 12:00,17.5,0.339
22.08.1978 12:00,20.0,0.335
22.08.1978 12:00,25.0,0.344
22.08.1978 12:00,30.0,0.352
22.08.1978 12:00,34.0,0.352
27.09.1978 12:00,0.3,0.249
27.09.1978 12:00,2.5,0.247
27.09.1978 12:00,5.0,0.252
27.09.1978 12:00,7.5,0.317
27.09.1978 12:00,10.0,0.329
27.09.1978 12:00,12.5,0.329
27.09.1978 12:00,15.0,0.332
27.09.1978 12:00,17.5,0.313
27.09.1978 12:00,20.0,0.336
27.09.1978 12:00,25.0,0.34
27.09.1978 12:00,30.0,0.348
27.09.1978 12:00,34.0,0.346
24.10.1978 12:00,0.3,0.281
24.10.1978 12:00,2.5,0.281
24.10.1978 12:00,5.0,0.278
24.10.1978 12:00,7.5,0.283
24.10.1978 12:00,10.0,0.338
24.10.1978 12:00,12.5,0.335
24.10.1978 12:00,15.0,0.339
24.10.1978 12:00,17.5,0.339
24.10.1978 12:00,20.0,0.342
24.10.1978 12:00,25.0,0.349
24.10.1978 12:00,30.0,0.355
24.10.1978 12:00,34.0,0.363
16.11.1978 12:00,0.3,0.297
16.11.1978 12:00,2.5,0.297
16.11.1978 12:00,5.0,0.297
16.11.1978 12:00,7.5,0.297
16.11.1978 12:00,10.0,0.297
16.11.1978 12:00,12.5,0.344
16.11.1978 12:00,15.0,0.344
16.11.1978 12:00,17.5,0.345
16.11.1978 12:00,20.0,0.347
16.11.1978 12:00,25.0,0.353
16.11.1978 12:00,30.0,0.36
16.11.1978 12:00,34.0,0.362
20.12.1978 12:00,0.3,0.33
20.12.1978 12:00,2.5,0.328
20.12.1978 12:00,5.0,0.328
20.12.1978 12:00,7.5,0.328
20.12.1978 12:00,10.0,0.328
20.12.1978 12:00,12.5,0.331
20.12.1978 12:00,15.0,0.331
20.12.1978 12:00,17.5,0.331
20.12.1978 12:00,20.0,0.331
20.12.1978 12:00,25.0,0.347
20.12.1978 12:00,30.0,0.355
20.12.1978 12:00,34.0,0.36
10.01.1979 12:00,0.3,0.331
10.01.1979 12:00,2.5,0.328
10.01.1979 12:00,5.0,0.329
10.01.1979 12:00,7.5,0.329
10.01.1979 12:00,10.0,0.329
10.01.1979 12:00,12.5,0.331
10.01.1979 12:00,15.0,0.331
10.01.1979 12:00,17.5,0.331
10.01.1979 12:00,20.0,0.331
10.01.1979 12:00,25.0,0.334
10.01.1979 12:00,30.0,0.335
10.01.1979 12:00,34.0,0.337
22.02.1979 12:00,0.3,0.334
22.02.1979 12:00,2.5,0.334
22.02.1979 12:00,5.0,0.334
22.02.1979 12:00,7.5,0.334
22.02.1979 12:00,10.0,0.334
22.02.1979 12:00,12.5,0.334
22.02.1979 12:00,15.0,0.334
22.02.1979 12:00,17.5,0.335
22.02.1979 12:00,20.0,0.337
22.02.1979 12:00,25.0,0.347
22.02.1979 12:00,30.0,0.36
22.02.1979 12:00,34.0,0.382
20.03.1979 12:00,0.3,0.336
20.03.1979 12:00,2.5,0.335
20.03.1979 12:00,5.0,0.336
20.03.1979 12:00,7.5,0.336
20.03.1979 12:00,10.0,0.335
20.03.1979 12:00,12.5,0.336
20.03.1979 12:00,15.0,0.336
20.03.1979 12:00,17.5,0.336
20.03.1979 12:00,20.0,0.338
20.03.1979 12:00,25.0,0.338
20.03.1979 12:00,30.0,0.35
20.03.1979 12:00,34.0,0.362
25.04.1979 12:00,0.3,0.337
25.04.1979 12:00,2.5,0.33
25.04.1979 12:00,5.0,0.335
25.04.1979 12:00,7.5,0.338
25.04.1979 12:00,10.0,0.34
25.04.1979 12:00,12.5,0.343
25.04.1979 12:00,15.0,0.343
25.04.1979 12:00,17.5,0.343
25.04.1979 12:00,20.0,0.343
25.04.1979 12:00,25.0,0.344
25.04.1979 12:00,30.0,0.344
25.04.1979 12:00,34.0,0.344
22.05.1979 12:00,0.3,0.246
22.05.1979 12:00,2.5,0.257
22.05.1979 12:00,5.0,0.305
22.05.1979 12:00,7.5,0.334
22.05.1979 12:00,10.0,0.329
22.05.1979 12:00,12.5,0.336
22.05.1979 12:00,15.0,0.329
22.05.1979 12:00,17.5,0.329
22.05.1979 12:00,20.0,0.389
22.05.1979 12:00,25.0,0.389
22.05.1979 12:00,30.0,0.397
22.05.1979 12:00,34.0,0.397
27.06.1979 12:00,0.3,0.228
27.06.1979 12:00,2.5,0.234
27.06.1979 12:00,5.0,0.217
27.06.1979 12:00,7.5,0.342
27.06.1979 12:00,10.0,0.346
27.06.1979 12:00,12.5,0.346
27.06.1979 12:00,15.0,0.338
27.06.1979 12:00,17.5,0.346
27.06.1979 12:00,20.0,0.346
27.06.1979 12:00,25.0,0.346
27.06.1979 12:00,30.0,0.351
27.06.1979 12:00,34.0,0.351
25.07.1979 12:00,0.3,0.207
25.07.1979 12:00,2.5,0.218
25.07.1979 12:00,5.0,0.291
25.07.1979 12:00,7.5,0.337
25.07.1979 12:00,10.0,0.348
25.07.1979 12:00,12.5,0.348
25.07.1979 12:00,15.0,0.329
25.07.1979 12:00,17.5,0.347
25.07.1979 12:00,20.0,0.347
25.07.1979 12:00,25.0,0.354
25.07.1979 12:00,30.0,0.356
25.07.1979 12:00,34.0,0.363
21.08.1979 12:00,0.3,0.226
21.08.1979 12:00,2.5,0.219
21.08.1979 12:00,5.0,0.295
21.08.1979 12:00,7.5,0.334
21.08.1979 12:00,10.0,0.348
21.08.1979 12:00,12.5,0.351
21.08.1979 12:00,15.0,0.351
21.08.1979 12:00,17.5,0.352
21.08.1979 12:00,20.0,0.352
21.08.1979 12:00,25.0,0.358
21.08.1979 12:00,30.0,0.362
21.08.1979 12:00,34.0,0.366
26.09.1979 12:00,0.3,0.252
26.09.1979 12:00,2.5,0.252
26.09.1979 12:00,5.0,0.25
26.09.1979 12:00,7.5,0.319
26.09.1979 12:00,10.0,0.331
26.09.1979 12:00,12.5,0.331
26.09.1979 12:00,15.0,0.332
26.09.1979 12:00,17.5,0.336
26.09.1979 12:00,20.0,0.336
26.09.1979 12:00,25.0,0.346
26.09.1979 12:00,30.0,0.356
26.09.1979 12:00,34.0,0.366
25.10.1979 12:00,0.3,0.281
25.10.1979 12:00,2.5,0.277
25.10.1979 12:00,5.0,0.277
25.10.1979 12:00,7.5,0.28
25.10.1979 12:00,10.0,0.349
25.10.1979 12:00,12.5,0.349
25.10.1979 12:00,15.0,0.348
25.10.1979 12:00,17.5,0.351
25.10.1979 12:00,20.0,0.352
25.10.1979 12:00,25.0,0.361
25.10.1979 12:00,30.0,0.366
25.10.1979 12:00,34.0,0.366
23.11.1979 12:00,0.3,0.311
23.11.1979 12:00,2.5,0.308
23.11.1979 12:00,5.0,0.308
23.11.1979 12:00,7.5,0.308
23.11.1979 12:00,10.0,0.308
23.11.1979 12:00,12.5,0.22
23.11.1979 12:00,15.0,0.243
