date,mean spring surface temperature
1951,6.71
1952,9.79
1953,8.88
1960,11.05
1961,12.03
1969,7.78
1975,8.84
1976,11.6
1977,6.86
1978,9.32
1979,6.45
1980,6.86
1981,7.06
1982,7.58
1983,7.24
1984,7.65
1985,5.75
1986,4.99
1987,13.8
1988,7.69
1989,8.92
1990,7.81
1991,7.74
1992,8.07
1994,10.97
1995,8.81
1996,6.71
1997,8.99
1998,12.4
1999,7.56
2001,10.43
2004,9.56
2005,8.67
2006,7.57
2007,13.62
2008,7.33
2009,7.4
2010,7.9
2011,11.89
2012,7.73
2013,8.24
2014,11.03
2015,10.45
2016,10.39
2017,9.03
2018,9.36
2019,9.11
2020,11.25
2021,8.67
2022,10.39
2023,8.56
