date,mean winter hypolimnetic density
1980,1000.1513
1981,1000.1536
1983,1000.1509
1985,1000.155
1988,1000.152
1989,1000.1507
1990,1000.151
1991,1000.1527
1992,1000.1548
1993,1000.1534
1994,1000.1529
1996,1000.1403
1997,1000.1419
1998,1000.1409
1999,1000.1439
2000,1000.1505
2001,1000.1477
2003,1000.1421
2005,1000.1433
2006,1000.1515
2007,1000.1534
2008,1000.1516
2009,1000.1541
2010,1000.1538
2011,1000.1536
2012,1000.1551
2013,1000.152
2014,1000.1527
2015,1000.1488
2016,1000.1484
2017,1000.1514
2018,1000.1495
2019,1000.1487
2020,1000.1362
2021,1000.1402
2022,1000.1411
2023,1000.1361
