date,mean annual surface conductivity
1983,250.24
1984,252.01
1985,244.99
1988,234.22
1989,238.55
1990,244.48
1991,251.66
1992,253.71
1996,244.23
2004,246.66
2005,255.01
2006,257.56
2007,252.81
2008,250.46
2009,251.39
2010,261.67
2012,260.18
2013,263.3
2014,251.92
2015,256.26
2016,254.23
2017,258.9
2018,254.24
2019,256.81
2020,252.02
2021,261.28
2022,257.62
2023,254.3
