date,mean autumn surface temperature
1950,15.53
1951,14.41
1952,13.43
1953,15.59
1954,14.81
1956,13.74
1961,15.71
1968,14.4
1969,14.84
1974,13.69
1976,14.33
1977,14.28
1978,14.37
1979,14.0
1980,14.63
1981,13.11
1982,14.89
1983,14.79
1984,14.0
1985,15.51
1987,15.34
1988,15.51
1989,14.97
1990,14.34
1991,14.91
1992,15.08
1993,13.54
1994,15.44
1995,15.46
1996,13.7
1997,14.74
1998,14.17
2002,14.12
2003,13.97
2004,15.44
2005,15.09
2006,16.14
2007,14.51
2008,13.95
2009,15.39
2010,14.15
2012,16.03
2013,16.68
2014,17.12
2015,15.33
2016,15.87
2017,15.78
2018,17.09
2019,16.86
2020,15.59
2021,15.61
2022,16.9
2023,18.01
