date,mean summer thermocline depth
1950,8.52
1951,8.63
1952,9.91
1953,7.51
1975,9.09
1976,8.08
1977,8.63
1978,8.25
1979,7.16
1980,8.03
1981,9.63
1982,9.28
1983,7.64
1984,7.93
1985,7.35
1986,7.59
1987,6.61
1988,7.84
1989,8.8
1990,8.65
1991,7.94
1992,7.87
1993,10.44
1994,7.54
1995,6.81
1996,7.57
1997,9.36
1998,8.79
1999,8.16
2000,7.88
2001,7.11
2002,8.09
2003,7.03
2004,7.66
2005,8.48
2006,6.96
2007,10.32
2008,8.68
2009,8.85
2010,8.44
2011,10.39
2012,8.02
2013,7.32
2014,9.92
2015,8.52
2016,7.99
2017,8.17
2018,8.86
2019,8.92
2020,10.77
2021,8.67
2022,8.99
2023,9.01
