date,mean autumn bottom oxygen concentration
1950,0.5
1951,0.41
1952,0.89
1953,2.21
1954,1.17
1956,0.82
1961,0.75
1968,0.93
1969,0.91
1970,0.62
1974,0.25
1976,0.13
1977,0.19
1978,1.13
1979,0.1
1980,0.1
1981,0.1
1982,0.1
1983,0.14
1984,0.1
1985,0.1
1987,0.42
1988,0.1
1989,0.1
1990,0.1
1991,0.03
1992,0.13
1993,0.07
1994,0.12
1995,0.06
1996,0.13
1997,0.1
1998,0.09
2000,0.82
2002,0.56
2003,0.33
2004,0.39
2005,0.78
2006,0.78
2007,0.29
2008,0.14
2009,0.26
2010,0.15
2012,0.52
2013,0.3
2014,0.3
2015,0.3
2016,0.3
2017,0.3
2018,0.3
2019,0.3
2020,0.1
2021,0.1
2022,0.1
2023,0.1
