date,mean annual bottom density
1983,1000.1618
1984,1000.1656
1985,1000.1689
1988,1000.1642
1989,1000.1643
1990,1000.1646
1991,1000.1648
1992,1000.1645
1996,1000.1512
2004,1000.1548
2005,1000.1553
2006,1000.164
2007,1000.1676
2008,1000.169
2009,1000.168
2010,1000.1662
2012,1000.1801
2013,1000.1732
2014,1000.1654
2015,1000.1721
2016,1000.1682
2017,1000.1699
2018,1000.1813
2019,1000.1641
2020,1000.1653
2021,1000.16
2022,1000.1585
2023,1000.1569
