date,mean early autumn hypolimnetic oxygen concentration
1950,4.14
1951,5.18
1952,4.42
1953,6.72
1956,5.61
1976,3.86
1977,3.73
1978,4.53
1979,4.75
1980,4.5
1981,4.07
1982,4.47
1983,5.14
1984,5.55
1985,5.62
1986,5.36
1987,5.1
1988,4.62
1989,3.32
1990,3.23
1991,3.5
1992,3.89
1993,4.14
1994,4.75
1995,3.98
1996,4.71
2000,5.13
2002,5.25
2003,5.17
2004,5.29
2005,5.9
2006,6.0
2007,4.93
2008,3.65
2009,4.96
2010,3.86
2012,5.37
2013,5.02
2014,3.74
2015,3.76
2016,3.4
2017,3.85
2018,5.09
2019,4.44
2020,3.91
2021,4.21
2022,4.16
2023,4.08
